policy_id,primary_url,all_urls
"35002","https://www.city.tsukuba.lg.jp/_res/projects/default_project/_page_/001/016/858/03.pdf","https://www.city.tsukuba.lg.jp/jigyosha/machinami/shuhen/1016858.html | https://www.city.tsukuba.lg.jp/_res/projects/default_project/_page_/001/016/858/03.pdf"
"35018","https://www.city.futtsu.lg.jp/0000007223.html","https://www.city.futtsu.lg.jp/0000007223.html"
"35023","https://yaita.info/dataarea/files/20220607-095146.pdf","https://www.city.yaita.tochigi.jp/soshiki/syoukou/syoukoukaisougyousyatouhojokin.html | https://yaita.info/dataarea/files/20220607-095146.pdf"
"35084","https://www.city.kasugai.lg.jp/_res/projects/default_project/_page_/001/013/686/R2.06pamphlet.pdf","https://www.city.kasugai.lg.jp/shimin/fukushi/kourei/1013686.html | https://www.city.kasugai.lg.jp/_res/projects/default_project/_page_/001/013/686/R2.06pamphlet.pdf"
"35059","https://www.city.yonezawa.yamagata.jp/secure/1918/beppyou1_ver.R3.pdf","http://www.city.yonezawa.yamagata.jp/item/1918.html#itemid1918 | https://www.city.yonezawa.yamagata.jp/secure/1918/beppyou1_ver.R3.pdf"
"35118","https://www.city.uwajima.ehime.jp/soshiki/5/hinanshisetsu-kansenboushi.html","https://www.city.uwajima.ehime.jp/soshiki/5/hinanshisetsu-kansenboushi.html | https://www.city.uwajima.ehime.jp/form/detail.php?sec_sec1=5&inq=02&lif_id=78517&check"
"35151","https://www.town.kembuchi.hokkaido.jp/%e5%85%89%e5%9b%9e%e7%b7%9a%e9%96%8b%e9%80%9a%e3%81%ab%e4%bc%b4%e3%81%86%e7%84%a1%e7%b7%9a%e3%83%ab%e3%83%bc%e3%82%bf%e3%83%bc%e5%8f%8a%e3%81%b3%e8%b3%bc%e5%85%a5%e8%b2%bb%e7%94%a8%e3%81%ae%e5%8a%a9/","https://www.town.kembuchi.hokkaido.jp/%e5%85%89%e5%9b%9e%e7%b7%9a%e9%96%8b%e9%80%9a%e3%81%ab%e4%bc%b4%e3%81%86%e7%84%a1%e7%b7%9a%e3%83%ab%e3%83%bc%e3%82%bf%e3%83%bc%e5%8f%8a%e3%81%b3%e8%b3%bc%e5%85%a5%e8%b2%bb%e7%94%a8%e3%81%ae%e5%8a%a9/"
"35121","https://www.town.shirataka.lg.jp/1897.htm","https://www.town.shirataka.lg.jp/1897.htm | https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fwww.town.shirataka.lg.jp%2Fsecure%2F5373%2FR4youkou.doc&wdOrigin=BROWSELINK"
"35166","https://www.city.tonami.lg.jp/service/2103p/","https://www.city.tonami.lg.jp/service/2103p/"
"35185","https://www.city.tajimi.lg.jp/kurashi/toshikekaku/kotsu/unkoukeizokusien.html","https://www.city.tajimi.lg.jp/kurashi/toshikekaku/kotsu/unkoukeizokusien.html"
"35167","https://www.city.tonami.lg.jp/wp-content/uploads/doc_1-71.pdf","https://www.city.tonami.lg.jp/service/2354p/ | https://www.city.tonami.lg.jp/wp-content/uploads/doc_1-71.pdf"
"35188","https://www.city.amakusa.kumamoto.jp/kiji0039185/index.html","https://www.city.amakusa.kumamoto.jp/kiji0039185/index.html | https://www.city.amakusa.kumamoto.jp/dynamic/entry/pub/ansform.aspx?c_id=28&entry_ins=27"
"35190","https://www.city.amakusa.kumamoto.jp/kiji0039186/3_9186_37119_up_324e7rrb.pdf","https://www.city.amakusa.kumamoto.jp/kiji0039186/index.html | https://www.city.amakusa.kumamoto.jp/kiji0039186/3_9186_37119_up_324e7rrb.pdf | https://www.city.amakusa.kumamoto.jp/kiji0039186/3_9186_39569_up_vzb2rove.pdf | https://www.city.amakusa.kumamoto.jp/dynamic/entry/pub/ansform.aspx?c_id=28&entry_ins=27"
"35240","https://www.city.kawachinagano.lg.jp/soshiki/1/48552.html","https://www.city.kawachinagano.lg.jp/soshiki/1/48552.html"
"35272","https://www.city.kagoshima-izumi.lg.jp/files/SpcDocumentDetail/95/SpcDocumentDetail_95180_file.pdf","https://www.city.kagoshima-izumi.lg.jp/page/page_06699.html | https://www.city.kagoshima-izumi.lg.jp/files/SpcDocumentDetail/95/SpcDocumentDetail_95180_file.pdf | https://www.city.kagoshima-izumi.lg.jp/files/SpcDocumentDetail/95/SpcDocumentDetail_95288_file.pdf"
"35276","https://www.city.kagoshima-izumi.lg.jp/files/SpcDocumentDetail/95/SpcDocumentDetail_95180_file.pdf","https://www.city.kagoshima-izumi.lg.jp/page/page_06699.html | https://www.city.kagoshima-izumi.lg.jp/files/SpcDocumentDetail/95/SpcDocumentDetail_95180_file.pdf | https://www.city.kagoshima-izumi.lg.jp/files/SpcDocumentDetail/95/SpcDocumentDetail_95290_file.pdf"
"35282","https://www.city.taito.lg.jp/kenchiku/jutaku/sumai/bunjo/manshonbariafree.files/r4bariafreepanfu.pdf","https://www.city.taito.lg.jp/kenchiku/jutaku/sumai/bunjo/manshonbariafree.html | https://www.city.taito.lg.jp/kenchiku/jutaku/sumai/bunjo/manshonbariafree.files/r4bariafreepanfu.pdf"
"35283","https://www.city.taito.lg.jp/kurashi/pet/pet/kainusinoinaineko.files/4nekoomote.pdf","https://www.city.taito.lg.jp/kurashi/pet/pet/kainusinoinaineko.html | https://www.city.taito.lg.jp/kurashi/pet/pet/kainusinoinaineko.files/4nekoomote.pdf | https://www.city.taito.lg.jp/kurashi/pet/pet/kainusinoinaineko.files/4nekoura.pdf"
"35329","https://www.city.edogawa.tokyo.jp/documents/18268/p.pdf","https://www.city.edogawa.tokyo.jp/e047/kosodate/kosodate/tyoukiikukyuu.html | https://www.city.edogawa.tokyo.jp/documents/18268/p.pdf | https://www.city.edogawa.tokyo.jp/documents/18268/r3ikukyu.pdf"
"35304","https://www.city.sanda.lg.jp/material/files/group/36/kofuyoko.pdf","https://www.city.sanda.lg.jp/soshiki/35/hojo_josei/16843.html | https://www.city.sanda.lg.jp/material/files/group/36/kofuyoko.pdf"
"35408","https://www.city.kaminoyama.yamagata.jp/uploaded/attachment/19407.pdf","https://www.city.kaminoyama.yamagata.jp/soshiki/11/koryugata.html | https://www.city.kaminoyama.yamagata.jp/uploaded/attachment/19407.pdf | https://www.city.kaminoyama.yamagata.jp/uploaded/attachment/19408.pdf"
"35345","https://www.city.asahi.lg.jp/uploaded/attachment/20046.pdf","https://www.city.asahi.lg.jp/soshiki/15/21044.html | https://www.city.asahi.lg.jp/uploaded/attachment/20046.pdf | https://www.city.asahi.lg.jp/uploaded/attachment/20040.pdf"
"35396","https://www.city.shunan.lg.jp/uploaded/attachment/85789.pdf","https://www.city.shunan.lg.jp/soshiki/103/51852.html | https://www.city.shunan.lg.jp/uploaded/attachment/85789.pdf"
"35449","https://www.city.misato.lg.jp/material/files/group/21/52072516.pdf","https://www.city.misato.lg.jp/shigoto_sangyo/shigoto/chushokigyokeiei_sogyoshien/7193.html | https://www.city.misato.lg.jp/material/files/group/21/52072516.pdf"
"35528","https://www.city.imizu.toyama.jp/guide/svGuideDtl.aspx?servno=43226","https://www.city.imizu.toyama.jp/guide/svGuideDtl.aspx?servno=43226"
"35478","https://www.city.asahi.lg.jp/uploaded/attachment/14999.pdf","https://www.city.asahi.lg.jp/soshiki/14/11303.html | https://www.city.asahi.lg.jp/uploaded/attachment/14999.pdf"
"35586","https://www.eco-hyogo.jp/waste-management/igyoushashien/shigenjunkan_hojokin/","https://www.eco-hyogo.jp/waste-management/igyoushashien/shigenjunkan_hojokin/ | http://www.eco-hyogo.jp/index.php/download_file/view/3048/1950/"
"35547","https://www.city.toyonaka.osaka.jp/kenko/shougai/syogaifukushi_gyosha/ikeashisetsuhojo.html","https://www.city.toyonaka.osaka.jp/kenko/shougai/syogaifukushi_gyosha/ikeashisetsuhojo.html"
"35551","https://www.town.kitajima.lg.jp/docs/2805246.html","https://www.town.kitajima.lg.jp/docs/2805246.html"
"35597","https://www.city.tateyama.chiba.jp/files/300345847.pdf","https://www.city.tateyama.chiba.jp/kenkou/page100066.html | https://www.city.tateyama.chiba.jp/files/300345847.pdf"
"35625","http://www.town.tochigi-haga.lg.jp/syoukou/documents/01tirashi.pdf","http://www.town.tochigi-haga.lg.jp/syoukou/teichaku.html | http://www.town.tochigi-haga.lg.jp/syoukou/documents/01tirashi.pdf"
"35650","https://www.town.imakane.lg.jp/gyousei/gyousei_info/post_3565.html","https://www.town.imakane.lg.jp/gyousei/gyousei_info/post_3565.html"
"35677","https://www.city.kaminoyama.yamagata.jp/soshiki/11/rokuji-sangyou.html","https://www.city.kaminoyama.yamagata.jp/soshiki/11/rokuji-sangyou.html"
"35746","https://www.town.kumamoto-yamato.lg.jp/kiji0037769/3_7769_12033_up_4smvanzg.pdf","https://www.town.kumamoto-yamato.lg.jp/kiji0038404/index.html | https://www.town.kumamoto-yamato.lg.jp/kiji0037769/3_7769_12033_up_4smvanzg.pdf | https://www.town.kumamoto-yamato.lg.jp/kiji0037769/3_7769_12036_up_zuyewzoc.pdf"
"35831","https://www.city.awaji.lg.jp/uploaded/attachment/29484.pdf","https://www.city.awaji.lg.jp/soshiki/kigyoyuchi/31721.html | https://www.city.awaji.lg.jp/uploaded/attachment/29484.pdf"
"35845","https://www.pref.kochi.lg.jp/soshiki/160101/files/2022090100093/file_2022914113522_1.pdf","https://www.pref.kochi.lg.jp/soshiki/160101/2022090100093.html | https://www.pref.kochi.lg.jp/soshiki/160101/files/2022090100093/file_2022914113522_1.pdf"
"35838","https://www.city.kounosu.saitama.jp/uploaded/attachment/1780.pdf","https://www.city.kounosu.saitama.jp/page/1475.html | https://www.city.kounosu.saitama.jp/uploaded/attachment/1780.pdf"
"35854","https://www.chusho.meti.go.jp/keiei/saisei/05.html","https://www.chusho.meti.go.jp/keiei/saisei/05.html"
"35867","https://www.city.minamata.lg.jp/kiji0031276/index.html","https://www.city.minamata.lg.jp/kiji0031276/index.html"
"35912","https://www.pref.kanagawa.jp/docs/k5n/cnt/f7800/kaizen_houmon.html","https://www.pref.kanagawa.jp/docs/k5n/cnt/f7800/kaizen_houmon.html"
"35911","https://www.city.koriyama.lg.jp/uploaded/life/46519_71427_misc.pdf","https://www.city.koriyama.lg.jp/site/kosodate/46519.html | https://www.city.koriyama.lg.jp/uploaded/life/46519_71427_misc.pdf"
